name,distance,moving_time,start_date_local,total_elevation_gain,type,average_heartrate,max_heartrate,average_speed,max_speed,date,hour,weekday,week,month,year,distance_km,moving_time_min,pace,pace_zone,time_of_day
트레드밀 러닝,12028.8,3585,2026-01-02 18:12:37+00:00,0.0,Run,127.2,147.0,3.355,3.92,2026-01-02,18,Friday,1,1,2026,12.028799999999999,59.75,4.967245277999469,⚡ Tempo (4:30-5:30),🌙 Evening
트랙 러닝,12110.0,3603,2026-01-01 17:49:05+00:00,0.0,Run,126.6,151.0,3.361,4.44,2026-01-01,17,Thursday,1,1,2026,12.11,60.05,4.958711808422791,⚡ Tempo (4:30-5:30),☀️ Afternoon
트레드밀 러닝,12313.9,4131,2025-12-31 14:06:39+00:00,0.0,Run,118.9,130.0,2.981,3.72,2025-12-31,14,Wednesday,1,12,2025,12.3139,68.85,5.591242417105872,🏃 Easy (5:30-6:30),☀️ Afternoon
트데 20000m,20007.8,6018,2025-12-29 20:00:26+00:00,0.0,Run,155.8,167.0,3.325,5.06,2025-12-29,20,Monday,1,12,2025,20.0078,100.3,5.013044912484131,⚡ Tempo (4:30-5:30),🌙 Evening
트데 LSD,25009.4,8322,2025-12-28 09:22:14+00:00,73.0,Run,135.4,150.0,3.005,3.9,2025-12-28,9,Sunday,52,12,2025,25.009400000000003,138.7,5.545914736059241,🏃 Easy (5:30-6:30),🌅 Morning
트레드밀 러닝,10033.8,3180,2025-12-27 14:12:37+00:00,0.0,Run,131.7,155.0,3.155,3.66,2025-12-27,14,Saturday,52,12,2025,10.0338,53.0,5.282146345352708,⚡ Tempo (4:30-5:30),☀️ Afternoon
트레드밀 러닝,15008.7,4505,2025-12-25 18:01:02+00:00,0.0,Run,124.2,146.0,3.332,4.92,2025-12-25,18,Thursday,52,12,2025,15.008700000000001,75.08333333333333,5.002654016226144,⚡ Tempo (4:30-5:30),🌙 Evening
이브 러닝 1224,12241.0,4100,2025-12-24 18:52:07+00:00,19.0,Run,142.9,157.0,2.986,6.7,2025-12-24,18,Wednesday,52,12,2025,12.241,68.33333333333333,5.582332598099284,🏃 Easy (5:30-6:30),🌙 Evening
트레드밀 러닝,10037.1,3207,2025-12-23 11:54:03+00:00,0.0,Run,134.2,168.0,3.13,3.92,2025-12-23,11,Tuesday,52,12,2025,10.0371,53.45,5.325243347181955,⚡ Tempo (4:30-5:30),🌅 Morning
트데 남산4회전,26745.8,9568,2025-12-21 08:18:53+00:00,571.0,Run,145.5,171.0,2.795,3.9,2025-12-21,8,Sunday,51,12,2025,26.7458,159.46666666666667,5.96230685440954,🏃 Easy (5:30-6:30),🌅 Morning
회복조깅,10011.5,3771,2025-12-20 17:09:27+00:00,14.0,Run,128.9,138.0,2.655,7.42,2025-12-20,17,Saturday,51,12,2025,10.0115,62.85,6.2777805523647805,🏃 Easy (5:30-6:30),☀️ Afternoon
트레드밀 러닝,12030.1,4009,2025-12-19 07:26:10+00:00,0.0,Run,119.8,148.0,3.001,3.72,2025-12-19,7,Friday,51,12,2025,12.030100000000001,66.81666666666666,5.554123961285995,🏃 Easy (5:30-6:30),🌅 Morning
회복조깅,10004.4,3897,2025-12-17 19:55:48+00:00,21.0,Run,133.3,150.0,2.567,10.16,2025-12-17,19,Wednesday,51,12,2025,10.0044,64.95,6.492143456878973,🏃 Easy (5:30-6:30),🌙 Evening
Brrr 게스트 참여,15145.0,5176,2025-12-16 19:41:18+00:00,3.0,Run,148.0,162.0,2.926,3.68,2025-12-16,19,Tuesday,51,12,2025,15.145,86.26666666666667,5.6960493011995155,🏃 Easy (5:30-6:30),🌙 Evening
짧은 업힐 15set,2552.1,1262,2025-12-15 20:46:50+00:00,82.0,Run,130.7,154.0,2.022,7.3,2025-12-15,20,Monday,51,12,2025,2.5521,21.033333333333335,8.241578830505597,🚶 Recovery (> 6:30),🌙 Evening
웜업,5099.9,1778,2025-12-15 20:04:18+00:00,4.0,Run,141.3,164.0,2.868,4.38,2025-12-15,20,Monday,51,12,2025,5.0999,29.633333333333333,5.8105714491133815,🏃 Easy (5:30-6:30),🌙 Evening
트데 LSD 2차,25346.8,8500,2025-12-14 09:15:50+00:00,72.0,Run,147.1,159.0,2.982,3.92,2025-12-14,9,Sunday,50,12,2025,25.346799999999998,141.66666666666666,5.589134197084707,🏃 Easy (5:30-6:30),🌅 Morning
러닝,10794.7,3576,2025-12-12 07:17:40+00:00,24.0,Run,139.5,152.0,3.019,6.74,2025-12-12,7,Friday,50,12,2025,10.7947,59.6,5.521228010041965,🏃 Easy (5:30-6:30),🌅 Morning
러닝,15067.8,5453,2025-12-11 19:10:11+00:00,54.0,Run,127.4,147.0,2.763,12.58,2025-12-11,19,Thursday,50,12,2025,15.0678,90.88333333333334,6.0316259396417085,🏃 Easy (5:30-6:30),🌙 Evening
트레드밀 러닝,10028.9,3558,2025-12-10 11:43:00+00:00,0.0,Run,121.1,137.0,2.819,3.48,2025-12-10,11,Wednesday,50,12,2025,10.0289,59.3,5.912911685229686,🏃 Easy (5:30-6:30),🌅 Morning
트랙 러닝,10838.8,3457,2025-12-08 20:22:38+00:00,0.0,Run,148.6,157.0,3.135,5.42,2025-12-08,20,Monday,50,12,2025,10.838799999999999,57.61666666666667,5.315779114539126,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,2927.3,973,2025-12-08 20:02:04+00:00,3.0,Run,139.9,165.0,3.009,4.46,2025-12-08,20,Monday,50,12,2025,2.9273000000000002,16.216666666666665,5.539803459388058,🏃 Easy (5:30-6:30),🌙 Evening
러닝,25376.1,8976,2025-12-07 09:17:19+00:00,72.0,Run,142.9,158.0,2.827,3.72,2025-12-07,9,Sunday,49,12,2025,25.376099999999997,149.6,5.895310942185758,🏃 Easy (5:30-6:30),🌅 Morning
러닝,10020.7,3731,2025-12-06 16:33:33+00:00,20.0,Run,125.4,145.0,2.686,5.96,2025-12-06,16,Saturday,49,12,2025,10.020700000000001,62.18333333333333,6.205487973228749,🏃 Easy (5:30-6:30),☀️ Afternoon
러닝,15008.3,5653,2025-12-05 19:26:27+00:00,17.0,Run,131.0,154.0,2.655,9.56,2025-12-05,19,Friday,49,12,2025,15.008299999999998,94.21666666666667,6.277637485036059,🏃 Easy (5:30-6:30),🌙 Evening
러닝,915.0,403,2025-12-04 20:19:06+00:00,2.0,Run,116.7,127.0,2.27,2.9,2025-12-04,20,Thursday,49,12,2025,0.915,6.716666666666667,7.340619307832422,🚶 Recovery (> 6:30),🌙 Evening
트레드밀 러닝,10008.7,3509,2025-12-03 11:46:30+00:00,0.0,Run,127.2,152.0,2.852,3.82,2025-12-03,11,Wednesday,49,12,2025,10.008700000000001,58.483333333333334,5.843249706089035,🏃 Easy (5:30-6:30),🌅 Morning
러닝,13637.9,4494,2025-12-02 13:22:40+00:00,32.0,Run,158.8,176.0,3.035,6.02,2025-12-02,13,Tuesday,49,12,2025,13.6379,74.9,5.492047895937058,⚡ Tempo (4:30-5:30),☀️ Afternoon
Shinjuku Ward 러닝,2060.1,1069,2025-11-20 20:02:38+00:00,16.0,Run,114.2,131.0,1.927,5.07,2025-11-20,20,Thursday,47,11,2025,2.0601,17.816666666666666,8.648447486367976,🚶 Recovery (> 6:30),🌙 Evening
Shibuya Ward 러닝,4525.1,1780,2025-11-20 19:18:11+00:00,28.0,Run,122.6,142.0,2.542,7.42,2025-11-20,19,Thursday,47,11,2025,4.5251,29.666666666666668,6.556024544577284,🚶 Recovery (> 6:30),🌙 Evening
Chiyoda Ward 러닝,1574.4,527,2025-11-20 08:19:54+00:00,7.0,Run,131.0,144.0,2.987,4.64,2025-11-20,8,Thursday,47,11,2025,1.5744,8.783333333333333,5.578844850948509,🏃 Easy (5:30-6:30),🌅 Morning
부장님과 황궁런,6899.8,2485,2025-11-20 07:28:18+00:00,32.0,Run,127.5,151.0,2.777,4.06,2025-11-20,7,Thursday,47,11,2025,6.8998,41.416666666666664,6.002589447037112,🏃 Easy (5:30-6:30),🌅 Morning
왕댕댕이런,28739.1,11387,2025-11-09 14:08:29+00:00,601.0,Run,140.4,171.0,2.524,4.72,2025-11-09,14,Sunday,45,11,2025,28.739099999999997,189.78333333333333,6.60366306994072,🚶 Recovery (> 6:30),☀️ Afternoon
러닝,3475.7,1281,2025-11-09 13:32:45+00:00,7.0,Run,119.8,138.0,2.713,4.42,2025-11-09,13,Sunday,45,11,2025,3.4757,21.35,6.142647524239722,🏃 Easy (5:30-6:30),☀️ Afternoon
웜업,6354.8,2612,2025-11-06 19:55:00+00:00,7.0,Run,119.7,128.0,2.433,9.5,2025-11-06,19,Thursday,45,11,2025,6.3548,43.53333333333333,6.850464740563563,🚶 Recovery (> 6:30),🌙 Evening
러닝,15262.5,5210,2025-11-05 18:52:19+00:00,13.0,Run,137.0,160.0,2.929,7.12,2025-11-05,18,Wednesday,45,11,2025,15.2625,86.83333333333333,5.689325689325689,🏃 Easy (5:30-6:30),🌙 Evening
러닝,8540.0,2887,2025-11-04 11:39:13+00:00,27.0,Run,134.7,147.0,2.958,5.8,2025-11-04,11,Tuesday,45,11,2025,8.54,48.11666666666667,5.634270101483217,🏃 Easy (5:30-6:30),🌅 Morning
러닝,10468.0,3405,2025-11-03 19:57:30+00:00,10.0,Run,141.6,156.0,3.074,6.9,2025-11-03,19,Monday,45,11,2025,10.468,56.75,5.421283912877341,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,6410.8,2085,2025-10-30 20:53:43+00:00,10.0,Run,134.2,147.0,3.075,9.28,2025-10-30,20,Thursday,44,10,2025,6.4108,34.75,5.420540338179323,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,4019.3,1685,2025-10-29 20:09:15+00:00,7.0,Run,118.7,133.0,2.385,7.32,2025-10-29,20,Wednesday,44,10,2025,4.0193,28.083333333333332,6.987120477031655,🚶 Recovery (> 6:30),🌙 Evening
ㄹㅋㅂㄹ,6362.6,2282,2025-10-28 19:55:05+00:00,4.0,Run,128.4,148.0,2.788,5.94,2025-10-28,19,Tuesday,44,10,2025,6.3626000000000005,38.03333333333333,5.977640168065465,🏃 Easy (5:30-6:30),🌙 Evening
2025 춘천마라톤,42215.1,12648,2025-10-26 09:10:21+00:00,201.0,Run,163.8,177.0,3.338,4.62,2025-10-26,9,Sunday,43,10,2025,42.2151,210.8,4.993473899149831,⚡ Tempo (4:30-5:30),🌅 Morning
러닝,710.2,282,2025-10-26 08:25:54+00:00,7.0,Run,127.7,137.0,2.518,2.94,2025-10-26,8,Sunday,43,10,2025,0.7102,4.7,6.617854125598423,🚶 Recovery (> 6:30),🌅 Morning
러닝,6007.7,2023,2025-10-23 20:13:31+00:00,9.0,Run,134.2,163.0,2.97,5.84,2025-10-23,20,Thursday,43,10,2025,6.0077,33.71666666666667,5.612242067124968,🏃 Easy (5:30-6:30),🌙 Evening
러닝,6310.2,1944,2025-10-21 20:10:26+00:00,49.0,Run,131.9,150.0,3.246,8.02,2025-10-21,20,Tuesday,43,10,2025,6.3102,32.4,5.13454407150328,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,10225.7,3308,2025-10-19 18:59:49+00:00,14.0,Run,129.6,151.0,3.091,6.6,2025-10-19,18,Sunday,42,10,2025,10.225700000000002,55.13333333333333,5.391643929836913,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,6402.7,2353,2025-10-17 09:14:33+00:00,28.0,Run,121.6,133.0,2.721,8.2,2025-10-17,9,Friday,42,10,2025,6.402699999999999,39.21666666666667,6.125020173780854,🏃 Easy (5:30-6:30),🌅 Morning
2025 서울레이스,21110.6,5643,2025-10-12 08:02:04+00:00,35.0,Run,168.7,179.0,3.741,4.92,2025-10-12,8,Sunday,41,10,2025,21.110599999999998,94.05,4.4551078605060965,🔥 Speed (< 4:30),🌅 Morning
러닝,13829.7,5150,2025-10-09 18:44:21+00:00,29.0,Run,120.5,141.0,2.685,4.38,2025-10-09,18,Thursday,41,10,2025,13.8297,85.83333333333333,6.206449404783425,🏃 Easy (5:30-6:30),🌙 Evening
1km x 6,10015.6,3086,2025-10-08 16:59:00+00:00,6.0,Run,149.1,175.0,3.245,4.74,2025-10-08,16,Wednesday,41,10,2025,10.015600000000001,51.43333333333333,5.135322230653513,⚡ Tempo (4:30-5:30),☀️ Afternoon
비가 너무 와서 멈춤런 ㅠㅜ,20053.0,5900,2025-10-05 08:16:14+00:00,62.0,Run,146.8,160.0,3.399,4.04,2025-10-05,8,Sunday,40,10,2025,20.053,98.33333333333333,4.9036719360361705,⚡ Tempo (4:30-5:30),🌅 Morning
러닝,10006.3,3585,2025-10-04 14:16:13+00:00,113.0,Run,132.1,159.0,2.791,3.82,2025-10-04,14,Saturday,40,10,2025,10.0063,59.75,5.9712381199844105,🏃 Easy (5:30-6:30),☀️ Afternoon
M 12km,12010.0,3459,2025-10-01 18:16:42+00:00,13.0,Run,156.5,169.0,3.472,4.68,2025-10-01,18,Wednesday,40,10,2025,12.01,57.65,4.800166527893422,⚡ Tempo (4:30-5:30),🌙 Evening
D-33) 조깅 10~12km +질주 6,10789.8,3673,2025-09-30 20:29:34+00:00,14.0,Run,131.0,139.0,2.938,7.06,2025-09-30,20,Tuesday,40,9,2025,10.7898,61.21666666666667,5.673568246553844,🏃 Easy (5:30-6:30),🌙 Evening
러닝,6425.1,2304,2025-09-29 20:25:35+00:00,5.0,Run,123.2,144.0,2.789,7.66,2025-09-29,20,Monday,40,9,2025,6.4251000000000005,38.4,5.976560676098426,🏃 Easy (5:30-6:30),🌙 Evening
2025 NB RYW,9903.7,2670,2025-09-28 08:07:49+00:00,39.0,Run,161.4,180.0,3.709,5.24,2025-09-28,8,Sunday,39,9,2025,9.9037,44.5,4.493270191948463,🔥 Speed (< 4:30),🌅 Morning
러닝,4423.7,1329,2025-09-27 07:26:14+00:00,12.0,Run,142.1,158.0,3.329,4.48,2025-09-27,7,Saturday,39,9,2025,4.4237,22.15,5.007120736035445,⚡ Tempo (4:30-5:30),🌅 Morning
러닝,10505.8,3761,2025-09-26 20:04:00+00:00,18.0,Run,122.3,145.0,2.793,5.54,2025-09-26,20,Friday,39,9,2025,10.505799999999999,62.68333333333333,5.9665454637755655,🏃 Easy (5:30-6:30),🌙 Evening
러닝,1003.9,376,2025-09-25 07:23:19+00:00,11.0,Run,135.3,141.0,2.67,4.02,2025-09-25,7,Thursday,39,9,2025,1.0039,6.266666666666667,6.242321612378391,🏃 Easy (5:30-6:30),🌅 Morning
D-38) AR 12000~15000m (MP+15~5),12012.2,3562,2025-09-25 06:13:59+00:00,27.0,Run,146.6,162.0,3.372,6.68,2025-09-25,6,Thursday,39,9,2025,12.0122,59.36666666666667,4.942197654606705,⚡ Tempo (4:30-5:30),🌅 Morning
D-40) AR 12000~15000m (MP+30),12041.2,3870,2025-09-23 06:05:03+00:00,24.0,Run,132.0,150.0,3.111,5.5,2025-09-23,6,Tuesday,39,9,2025,12.0412,64.5,5.356608975849583,⚡ Tempo (4:30-5:30),🌅 Morning
2025 서울어스마라톤,10007.8,2621,2025-09-21 08:35:17+00:00,45.0,Run,167.9,179.0,3.818,6.18,2025-09-21,8,Sunday,38,9,2025,10.0078,43.68333333333333,4.364928688955947,🔥 Speed (< 4:30),🌅 Morning
러닝,1234.1,487,2025-09-21 07:55:03+00:00,2.0,Run,125.6,149.0,2.534,4.84,2025-09-21,7,Sunday,38,9,2025,1.2341,8.116666666666667,6.576992680225806,🚶 Recovery (> 6:30),🌅 Morning
D-44) AR 12000m (MP+30~20),12177.7,4073,2025-09-19 06:52:42+00:00,10.0,Run,131.3,151.0,2.99,4.36,2025-09-19,6,Friday,38,9,2025,12.177700000000002,67.88333333333334,5.574396916768629,🏃 Easy (5:30-6:30),🌅 Morning
5km 페메,5008.4,1567,2025-09-18 12:05:54+00:00,6.0,Run,149.4,164.0,3.196,4.96,2025-09-18,12,Thursday,38,9,2025,5.0084,26.116666666666667,5.214572850943748,⚡ Tempo (4:30-5:30),☀️ Afternoon
Lunch Run,1016.0,357,2025-09-18 11:52:04+00:00,2.0,Run,124.0,140.0,2.846,4.12,2025-09-18,11,Thursday,38,9,2025,1.016,5.95,5.856299212598425,🏃 Easy (5:30-6:30),🌅 Morning
Evening Run,10336.2,3175,2025-09-17 19:52:30+00:00,3.0,Run,145.5,172.0,3.255,4.94,2025-09-17,19,Wednesday,38,9,2025,10.336200000000002,52.916666666666664,5.1195474803764105,⚡ Tempo (4:30-5:30),🌙 Evening
D-47) AR 12000m (MP+30),12220.3,4140,2025-09-16 20:10:03+00:00,22.0,Run,136.6,153.0,2.952,7.0,2025-09-16,20,Tuesday,38,9,2025,12.2203,69.0,5.646342561148253,🏃 Easy (5:30-6:30),🌙 Evening
광명하프마라톤 M페이스 연습,20642.0,6076,2025-09-14 08:01:10+00:00,145.0,Run,159.0,172.0,3.397,9.4,2025-09-14,8,Sunday,37,9,2025,20.642,101.26666666666667,4.905855375771082,⚡ Tempo (4:30-5:30),🌅 Morning
Morning Run,979.0,289,2025-09-14 07:06:45+00:00,0.0,Run,116.5,124.0,3.388,9.14,2025-09-14,7,Sunday,37,9,2025,0.979,4.816666666666666,4.9199863806605375,⚡ Tempo (4:30-5:30),🌅 Morning
조깅하다 누가 피빨아서 갑자기 빌덥,10037.4,2971,2025-09-11 19:42:26+00:00,12.0,Run,154.9,177.0,3.378,4.42,2025-09-11,19,Thursday,37,9,2025,10.0374,49.516666666666666,4.93321643719157,⚡ Tempo (4:30-5:30),🌙 Evening
Morning Run,8328.3,2588,2025-09-10 06:33:46+00:00,2.0,Run,146.6,179.0,3.218,5.12,2025-09-10,6,Wednesday,37,9,2025,8.328299999999999,43.13333333333333,5.179128193428832,⚡ Tempo (4:30-5:30),🌅 Morning
D-54) AR 15000m (MP+30),15599.9,5039,2025-09-09 06:27:10+00:00,40.0,Run,146.0,167.0,3.096,8.0,2025-09-09,6,Tuesday,37,9,2025,15.5999,83.98333333333333,5.383581518684949,⚡ Tempo (4:30-5:30),🌅 Morning
30km 7.5 x4,30723.7,9930,2025-09-07 06:08:41+00:00,9.0,Run,153.0,183.0,3.094,3.84,2025-09-07,6,Sunday,36,9,2025,30.7237,165.5,5.3867210004003425,⚡ Tempo (4:30-5:30),🌅 Morning
Evening Run,10086.5,3637,2025-09-05 19:29:15+00:00,12.0,Run,137.3,148.0,2.773,3.92,2025-09-05,19,Friday,36,9,2025,10.0865,60.61666666666667,6.009682909499497,🏃 Easy (5:30-6:30),🌙 Evening
Evening Run,7003.1,2342,2025-09-04 19:57:21+00:00,11.0,Run,139.7,167.0,2.99,10.44,2025-09-04,19,Thursday,36,9,2025,7.003100000000001,39.03333333333333,5.573722113540193,🏃 Easy (5:30-6:30),🌙 Evening
D-60) 1km*8,10001.1,3232,2025-09-03 20:02:58+00:00,4.0,Run,149.8,180.0,3.094,5.64,2025-09-03,20,Wednesday,36,9,2025,10.001100000000001,53.86666666666667,5.386074198504831,⚡ Tempo (4:30-5:30),🌙 Evening
Evening Run,10544.9,3927,2025-09-02 20:16:04+00:00,8.0,Run,129.4,137.0,2.685,6.06,2025-09-02,20,Tuesday,36,9,2025,10.5449,65.45,6.206791908884864,🏃 Easy (5:30-6:30),🌙 Evening
Morning Run,20832.8,7254,2025-08-31 07:17:27+00:00,56.0,Run,142.2,165.0,2.872,5.18,2025-08-31,7,Sunday,35,8,2025,20.8328,120.9,5.803348565723283,🏃 Easy (5:30-6:30),🌅 Morning
D-66) AR 15000m (MP+25~15),16007.0,5009,2025-08-27 19:25:31+00:00,19.0,Run,151.3,174.0,3.196,9.6,2025-08-27,19,Wednesday,35,8,2025,16.007,83.48333333333333,5.215426584202744,⚡ Tempo (4:30-5:30),🌙 Evening
Evening Run,10003.0,3876,2025-08-25 20:53:45+00:00,22.0,Run,127.4,140.0,2.581,11.46,2025-08-25,20,Monday,35,8,2025,10.003,64.6,6.458062581225632,🏃 Easy (5:30-6:30),🌙 Evening
Evening Run,14034.1,4796,2025-08-24 20:13:47+00:00,22.0,Run,137.6,175.0,2.926,5.34,2025-08-24,20,Sunday,34,8,2025,14.0341,79.93333333333334,5.695650831427262,🏃 Easy (5:30-6:30),🌙 Evening
D-73) AR 15000m (MP+30~20),15448.7,4869,2025-08-21 05:59:26+00:00,3.0,Run,147.8,178.0,3.173,4.7,2025-08-21,5,Thursday,34,8,2025,15.4487,81.15,5.252869173457961,⚡ Tempo (4:30-5:30),🌅 Morning
Morning Run,8538.7,3183,2025-08-20 06:36:40+00:00,5.0,Run,127.1,144.0,2.683,8.6,2025-08-20,6,Wednesday,34,8,2025,8.5387,53.05,6.212889549931488,🏃 Easy (5:30-6:30),🌅 Morning
D-75) AR 15000m (MP+30~20),15488.5,4908,2025-08-19 06:03:19+00:00,40.0,Run,152.2,174.0,3.156,6.1,2025-08-19,6,Tuesday,34,8,2025,15.4885,81.8,5.281337766730155,⚡ Tempo (4:30-5:30),🌅 Morning
"20km M+1, 5km M+30s, 5km M-10s",30168.9,10348,2025-08-17 06:11:29+00:00,90.0,Run,146.2,184.0,2.915,4.46,2025-08-17,6,Sunday,33,8,2025,30.1689,172.46666666666667,5.716703846234588,🏃 Easy (5:30-6:30),🌅 Morning
Evening Run,8152.3,2779,2025-08-15 20:33:38+00:00,7.0,Run,139.5,171.0,2.934,6.5,2025-08-15,20,Friday,33,8,2025,8.1523,46.31666666666667,5.68142323843169,🏃 Easy (5:30-6:30),🌙 Evening
Evening Run,7134.6,2660,2025-08-14 20:04:58+00:00,3.0,Run,138.7,154.0,2.682,3.94,2025-08-14,20,Thursday,33,8,2025,7.134600000000001,44.333333333333336,6.2138498771246224,🏃 Easy (5:30-6:30),🌙 Evening
Evening Run,10603.5,3074,2025-08-14 19:08:05+00:00,10.0,Run,156.5,170.0,3.449,6.68,2025-08-14,19,Thursday,33,8,2025,10.6035,51.233333333333334,4.831737948161771,⚡ Tempo (4:30-5:30),🌙 Evening
Night Run,10091.4,3294,2025-08-12 21:14:01+00:00,11.0,Run,149.8,171.0,3.064,6.62,2025-08-12,21,Tuesday,33,8,2025,10.0914,54.9,5.440275878470777,⚡ Tempo (4:30-5:30),🌙 Evening
Evening Run,10764.3,3895,2025-08-10 19:55:49+00:00,14.0,Run,138.1,159.0,2.764,8.88,2025-08-10,19,Sunday,32,8,2025,10.764299999999999,64.91666666666667,6.030737406674533,🏃 Easy (5:30-6:30),🌙 Evening
웜업 + 24km M+1페이스 + 쿨다운,26630.0,9140,2025-08-09 06:12:30+00:00,43.0,Run,138.1,166.0,2.914,7.64,2025-08-09,6,Saturday,32,8,2025,26.63,152.33333333333334,5.720365502566029,🏃 Easy (5:30-6:30),🌅 Morning
Evening Run,6008.7,2152,2025-08-07 20:15:33+00:00,6.0,Run,134.5,183.0,2.792,5.12,2025-08-07,20,Thursday,32,8,2025,6.0087,35.86666666666667,5.9691225500801615,🏃 Easy (5:30-6:30),🌙 Evening
인터벌 1km x 5,8142.0,2846,2025-08-06 18:39:03+00:00,5.0,Run,149.2,183.0,2.861,6.48,2025-08-06,18,Wednesday,32,8,2025,8.142,47.43333333333333,5.825759436665848,🏃 Easy (5:30-6:30),🌙 Evening
